,Bn2d:Out:32*135*512,Bn2dBwd:GX:1*2048*32*32,CEloss:M:16*1000,Concat:Out:32*135*512,Conv2dBpa:GX:1*256*32*32; W:128*256*3*3; K3S1P1D1,Conv2dBpw:GW:128*256*3*3; IN:1*256*32*32; K3S1P1D1,Conv2dK1S1D1P0BiasAddClip:A:1*2048*8*8; W:256*1000*1*1,Conv2dK3S1D1P1BiasAddClip:A:1*2048*8*8; W:256*1000*1*1,Conv:A:1x256x40x40; W:128x256x1x1,Dropout:M:512*512; Msk:512*32,Dwc2d:A:32*288*32*32; W:288*1*5*5; P0S1D1,Dwc2dBpa:GO:32*1248*7*7; W:1248*1*5*5; P0S1D1,Dwc2dBpw:GO:32*1248*7*7; IN:32*1248*11*11; P0S1D1,Flatten:A:16*1000,FullyConnectClip:ML:1*2048; MR:2048*1000; B:,GlobalAvgPool:A:1*6*98*98; Out:1*6*1*1,MMA:ML:2048*13; MR:13*512,MMA:ML:512*768; MR:768*3072,Maxpool:A:1*64*64*64,MaxpoolBwd:GX:1*64*64*64; K3S2P0,OP:Shape,Resize:A:2*64*120*80; Out:2*64*240*160,Softmax:M:512*512,SoftmaxBwd:GX:1*512*512,Transpose:A:16*1000
0,493585,818975,70016,759057,198255070,133048924,53237,6244653,38000,95419,23586838,21121466,23679227,61845,130317,43506,151949,170839,34603,2339272,Cur-Cbi,90513,37090,102946,86693
1,493585,818975,70016,759057,198255070,133048924,53237,6244653,38000,95419,23586838,21121466,23679227,61845,130317,43506,171949,173839,34603,2339272,Cur-Cbi,90513,37090,102946,86693
2,493585,818975,70016,759057,198255070,133048924,53237,6244653,38000,95419,23586838,21121466,23679227,61845,130317,43506,171949,173839,34603,2339272,Cur-Cbi,90513,37090,102946,86693
3,493585,818975,70016,759057,198255070,133048924,53237,6244653,33917,95419,23586838,21121466,23679227,61845,130317,43506,171949,173839,34603,2339272,Cur-Cbi,90513,37090,102946,86693
4,493585,818975,70016,759057,198255070,133048924,53237,6244653,33917,95419,23586838,21121466,23679227,61845,130317,43506,171949,173839,34603,2339272,Cur-Cbi,90513,37090,102946,86693
