,name,pre value (ms),curr value,base value (ms),avg value (ms),min value (ms),max value (ms),pre compare,base compare,avg compare,min compare,max compare
0,Bn2d:Out:32*135*512,493585,493585,493585,493585.0,493585,493585,0.00%,0.00%,0.00%,0.00%,0.00%
1,Bn2dBwd:GX:1*2048*32*32,818975,818975,818975,818975.0,818975,818975,0.00%,0.00%,0.00%,0.00%,0.00%
2,CEloss:M:16*1000,70016,70016,70016,70016.0,70016,70016,0.00%,0.00%,0.00%,0.00%,0.00%
3,Concat:Out:32*135*512,759057,759057,759057,759057.0,759057,759057,0.00%,0.00%,0.00%,0.00%,0.00%
4,Conv2dBpa:GX:1*256*32*32; W:128*256*3*3; K3S1P1D1,198255070,198255070,198255070,198255070.0,198255070,198255070,0.00%,0.00%,0.00%,0.00%,0.00%
5,Conv2dBpw:GW:128*256*3*3; IN:1*256*32*32; K3S1P1D1,133048924,133048924,133048924,133048924.0,133048924,133048924,0.00%,0.00%,0.00%,0.00%,0.00%
6,Conv2dK1S1D1P0BiasAddClip:A:1*2048*8*8; W:256*1000*1*1,53237,53237,53237,53237.0,53237,53237,0.00%,0.00%,0.00%,0.00%,0.00%
7,Conv2dK3S1D1P1BiasAddClip:A:1*2048*8*8; W:256*1000*1*1,6244653,6244653,6244653,6244653.0,6244653,6244653,0.00%,0.00%,0.00%,0.00%,0.00%
8,Conv:A:1x256x40x40; W:128x256x1x1,38000,38000,33917,36366.8,33917,38000,0.00%,-10.74%,-4.30%,-10.74%,0.00%
9,Dropout:M:512*512; Msk:512*32,95419,95419,95419,95419.0,95419,95419,0.00%,0.00%,0.00%,0.00%,0.00%
10,Dwc2d:A:32*288*32*32; W:288*1*5*5; P0S1D1,23586838,23586838,23586838,23586838.0,23586838,23586838,0.00%,0.00%,0.00%,0.00%,0.00%
11,Dwc2dBpa:GO:32*1248*7*7; W:1248*1*5*5; P0S1D1,21121466,21121466,21121466,21121466.0,21121466,21121466,0.00%,0.00%,0.00%,0.00%,0.00%
12,Dwc2dBpw:GO:32*1248*7*7; IN:32*1248*11*11; P0S1D1,23679227,23679227,23679227,23679227.0,23679227,23679227,0.00%,0.00%,0.00%,0.00%,0.00%
13,Flatten:A:16*1000,61845,61845,61845,61845.0,61845,61845,0.00%,0.00%,0.00%,0.00%,0.00%
14,FullyConnectClip:ML:1*2048; MR:2048*1000; B:,130317,130317,130317,130317.0,130317,130317,0.00%,0.00%,0.00%,0.00%,0.00%
15,GlobalAvgPool:A:1*6*98*98; Out:1*6*1*1,43506,43506,43506,43506.0,43506,43506,0.00%,0.00%,0.00%,0.00%,0.00%
16,MMA:ML:2048*13; MR:13*512,151949,151949,171949,167949.0,151949,171949,0.00%,13.16%,10.53%,0.00%,13.16%
17,MMA:ML:512*768; MR:768*3072,170839,170839,173839,173239.0,170839,173839,0.00%,1.76%,1.40%,0.00%,1.76%
18,Maxpool:A:1*64*64*64,34603,34603,34603,34603.0,34603,34603,0.00%,0.00%,0.00%,0.00%,0.00%
19,MaxpoolBwd:GX:1*64*64*64; K3S2P0,2339272,2339272,2339272,2339272.0,2339272,2339272,0.00%,0.00%,0.00%,0.00%,0.00%
20,Resize:A:2*64*120*80; Out:2*64*240*160,90513,90513,90513,90513.0,90513,90513,0.00%,0.00%,0.00%,0.00%,0.00%
21,Softmax:M:512*512,37090,37090,37090,37090.0,37090,37090,0.00%,0.00%,0.00%,0.00%,0.00%
22,SoftmaxBwd:GX:1*512*512,102946,102946,102946,102946.0,102946,102946,0.00%,0.00%,0.00%,0.00%,0.00%
23,Transpose:A:16*1000,86693,86693,86693,86693.0,86693,86693,0.00%,0.00%,0.00%,0.00%,0.00%
